question,opt1,opt2,opt3,opt4,correct,category,difficulty
Какая страна является самой посещаемой туристами в мире?,Франция,Испания,Италия,США,1,География,medium
Как называется самый высокий водопад в мире?,Анхель,Ниагарский,Виктория,Игуасу,1,Природа,hard
В каком городе находится Тадж-Махал?,Агра,Дели,Мумбаи,Калькутта,1,Достопримечательности,medium
Какая пустыня самая большая в мире?,Сахара,Гоби,Атакама,Калахари,1,Природа,medium
Что такое "аура" в контексте северного сияния?,Зона свечения,Живописный термин,Народный танец,Тип облаков,1,Явления,hard
Какая пирамида самая высокая в Египте?,Пирамида Хеопса,Пирамида Хефрена,Пирамида Микерина,Ломаная пирамида,1,Достопримечательности,easy
В какой стране находится город Венеция?,Италия,Франция,Германия,Австрия,1,Города,easy
Какое животное является символом Австралии?,Кенгуру,Коала,Утконос,Ехидна,1,Животные,easy
Как называется знаменитый канал в Венеции?,Гранд-канал,Панамский,Суэцкий,Ла-Манш,1,Достопримечательности,medium
Где находится Стоунхендж?,Англия,Шотландия,Ирландия,Уэльс,1,Достопримечательности,easy
Какой вулкан уничтожил Помпеи?,Везувий,Этна,Кракатау,Фудзияма,1,Природа,medium
В какой стране находится Эйфелева башня?,Франция,Бельгия,Швейцария,Люксембург,1,Достопримечательности,easy
Какое море самое соленое в мире?,Мертвое море,Красное море,Средиземное море,Карибское море,1,Природа,hard
Как называется самый большой океан?,Тихий,Атлантический,Индийский,Северный Ледовитый,1,Природа,easy
В какой стране находится статуя Свободы?,США,Канада,Мексика,Бразилия,1,Достопримечательности,easy
Какой город называют "Вечным городом"?,Рим,Афины,Иерусалим,Каир,1,Города,medium
Где находится Великая Китайская стена?,Китай,Япония,Корея,Монголия,1,Достопримечательности,easy
Какой национальный парк самый старый в мире?,Йеллоустоун,Гранд-Каньон,Джаспер,Банф,1,Природа,hard
В какой стране находится Кижи?,Россия,Украина,Беларусь,Финляндия,1,Достопримечательности,medium
Как называется самая длинная река в мире?,Нил,Амазонка,Янцзы,Миссисипи,1,Природа,hard
Где находится Мачу-Пикчу?,Перу,Чили,Аргентина,Бразилия,1,Достопримечательности,medium
Какой остров самый большой в мире?,Гренландия,Австралия,Мадагаскар,Борнео,1,Природа,hard
В какой стране находится Колизей?,Италия,Греция,Турция,Египет,1,Достопримечательности,easy
Какой океан самый глубокий?,Тихий,Атлантический,Индийский,Северный Ледовитый,1,Природа,medium
Где находится гора Эверест?,Непал,Индия,Китай,Бутан,1,Природа,medium
